n,cache-misses,cache-references,miss-ratio,cycles,instructions,ipc
3000,46760080,3739166464,.0125,149080256681,784501524656,5.2622
3050,42260004,3883119687,.0108,154825659549,810862259483,5.2372
3100,44171677,4096197384,.0107,159287527301,837657307204,5.2587
3150,54788875,4374962599,.0125,165022799743,864889095930,5.2410
3200,53451064,4586546746,.0116,170066495026,892556123121,5.2482
3250,66223728,4894552395,.0135,176286977533,920659568851,5.2225
3300,75665577,5179703961,.0146,182396931203,949198635164,5.2040
3350,69519307,5362700576,.0129,187283818198,978173369905,5.2229
3400,70141470,5543376055,.0126,192977891331,1007583109951,5.2212
3450,69603314,5758537573,.0120,197954070316,1037428475654,5.2407
3500,90418666,6066644632,.0149,204615844871,1067709714288,5.2181
3550,67011727,6134878707,.0109,208477314171,1098416948258,5.2687
3600,80458098,6460371277,.0124,215790255016,1129561660575,5.2345
3650,65120797,6485390367,.0100,220275910952,1161150414174,5.2713
3700,79675167,6825821950,.0116,228964281723,1193170422033,5.2111
3750,86132825,7103802501,.0121,234314374147,1225635668963,5.2307
3800,72943804,7194979853,.0101,239439091130,1258525615716,5.2561
3850,91014347,7445711618,.0122,246423154577,1291857347704,5.2424
3900,100152367,7685691787,.0130,252778919792,1325625099852,5.2442
3950,93003965,7799724792,.0119,258832692846,1359827931861,5.2536
4000,79771858,7906824186,.0100,264383481336,1394466503593,5.2744
