size,time(ms)
100000,0.007344
200000,0.014545
300000,0.023637
400000,0.030155
500000,0.038364
600000,0.044737
700000,0.049165
800000,0.056466
900000,0.062632
1000000,0.075397
1100000,0.079872
1200000,0.094569
1300000,0.09206
1400000,0.101905
1500000,0.109164
1600000,0.124136
1700000,0.118235
1800000,0.133071
1900000,0.13894
2000000,0.140751
2100000,0.160851
2200000,0.186143
2300000,0.200681
2400000,0.176417
2500000,0.178638
2600000,0.192923
2700000,0.193571
2800000,0.199136
2900000,0.205933
3000000,0.22164
3100000,0.218645
3200000,0.231845
3300000,0.235219
3400000,0.234692
3500000,0.259263
3600000,0.267666
3700000,0.278123
3800000,0.312642
3900000,0.283838
4000000,0.306952
4100000,0.29136
4200000,0.297469
4300000,0.304198
4400000,0.307232
4500000,0.32429
4600000,0.342913
4700000,0.342017
4800000,0.395939
4900000,0.377452
5000000,0.371507
5100000,0.367442
5200000,0.370781
5300000,0.367393
5400000,0.376261
5500000,0.410476
5600000,0.409548
5700000,0.452818
5800000,0.412229
5900000,0.41873
6000000,0.439354
6100000,0.439577
6200000,0.447624
6300000,0.457849
6400000,0.472744
6500000,0.506381
6600000,0.483301
6700000,0.480939
6800000,0.498851
6900000,0.490632
7000000,0.518908
7100000,0.534929
7200000,0.537104
7300000,0.523049
7400000,0.529344
7500000,0.532112
7600000,0.548903
7700000,0.545737
7800000,-0.740032
7900000,0.585095
8000000,0.565193
8100000,0.601266
8200000,0.609907
8300000,0.63439
8400000,0.631085
8500000,0.602
8600000,0.616972
8700000,0.639636
8800000,0.650666
8900000,0.730091
9000000,0.637643
9100000,0.6652
9200000,0.660845
9300000,0.696491
9400000,0.735693
9500000,0.692419
9600000,0.683168
9700000,0.698735
9800000,0.724241
9900000,0.763461
10000000,0.741128
10100000,0.725292
10200000,0.738487
10300000,0.754176
10400000,0.754737
10500000,0.746957
10600000,0.774178
10700000,0.782858
10800000,0.843817
10900000,0.81221
11000000,0.8098
11100000,0.834045
11200000,0.832449
11300000,0.831038
11400000,0.832146
11500000,0.850696
11600000,0.876766
11700000,0.860161
11800000,0.871828
11900000,0.866053
12000000,0.89675
12100000,-0.544859
12200000,0.893032
12300000,0.891277
12400000,0.964366
12500000,0.903655
12600000,0.898231
12700000,0.901757
12800000,0.988793
12900000,0.951418
13000000,0.945009
13100000,0.984887
13200000,1.03709
13300000,0.95754
13400000,0.995424
13500000,1.00236
13600000,0.970094
13700000,0.977919
13800000,0.992398
13900000,1.11501
14000000,1.02085
14100000,1.01548
14200000,1.02206
14300000,1.02707
14400000,1.06058
14500000,1.05519
14600000,1.17929
14700000,1.07411
14800000,1.08917
14900000,1.13211
15000000,1.0737
15100000,1.08445
15200000,-0.25829
15300000,1.119
15400000,1.1205
15500000,1.14631
15600000,1.11574
15700000,1.15282
15800000,1.15398
15900000,1.18342
16000000,1.16751
16100000,1.17935
16200000,1.20821
16300000,1.17371
16400000,1.21236
16500000,1.21717
16600000,1.20364
16700000,1.21206
16800000,1.27162
16900000,1.21298
17000000,1.2753
17100000,1.22947
17200000,1.26005
17300000,1.30692
17400000,1.27897
17500000,1.24051
17600000,1.347
17700000,1.27824
17800000,-0.129181
17900000,1.39848
18000000,1.29165
18100000,1.33198
18200000,1.3365
18300000,1.31887
18400000,1.3503
18500000,1.33011
18600000,1.3462
18700000,1.42761
18800000,1.33173
18900000,1.38271
19000000,1.44419
19100000,1.40447
19200000,1.44314
19300000,1.43761
19400000,1.40753
19500000,1.5384
19600000,1.42366
19700000,1.4437
19800000,1.46635
19900000,1.41915
20000000,1.57875
20100000,0.134691
20200000,1.54654
20300000,1.49353
20400000,1.4971
20500000,1.55757
20600000,1.49499
20700000,1.51743
20800000,1.51715
20900000,1.53116
21000000,1.69392
21100000,1.56191
21200000,1.56784
21300000,1.54588
21400000,1.5817
21500000,1.66199
21600000,1.60128
21700000,1.60749
21800000,1.57695
21900000,1.58465
22000000,1.61102
22100000,0.213175
22200000,1.77056
22300000,1.63422
22400000,1.65473
22500000,1.63451
22600000,1.67245
22700000,1.64027
22800000,1.64567
22900000,1.773
23000000,1.71526
23100000,1.79701
23200000,1.67742
23300000,1.74598
23400000,1.69103
23500000,1.72561
23600000,1.72207
23700000,1.79178
23800000,1.89535
23900000,0.418302
24000000,1.96304
24100000,1.75176
24200000,1.81882
24300000,1.7571
24400000,1.79203
24500000,1.77187
24600000,1.80329
24700000,1.80868
24800000,1.77597
24900000,1.77666
25000000,1.83964
25100000,1.8945
25200000,1.81219
25300000,1.93835
25400000,1.88392
25500000,1.92876
25600000,1.81762
25700000,0.459139
25800000,1.88203
25900000,1.91101
26000000,1.9502
26100000,1.91337
26200000,1.87836
26300000,1.99336
26400000,1.95535
26500000,2.0118
26600000,1.88769
26700000,2.00034
26800000,1.9205
26900000,1.98335
27000000,2.02032
27100000,1.99006
27200000,1.95221
27300000,0.590413
27400000,1.95736
27500000,2.05571
27600000,1.9853
27700000,2.05589
27800000,1.97856
27900000,2.19964
28000000,2.03715
28100000,2.12109
28200000,2.00087
28300000,2.12096
28400000,2.03277
28500000,2.08131
28600000,2.05934
28700000,2.0708
28800000,0.729094
28900000,2.09658
29000000,2.05069
29100000,2.11301
29200000,2.14097
29300000,2.07159
29400000,2.1836
29500000,2.10349
29600000,2.19498
29700000,2.09213
29800000,2.23772
29900000,2.13369
30000000,2.25615
30100000,2.13971
30200000,2.23678
30300000,0.78228
30400000,2.22737
30500000,2.19322
30600000,2.22706
30700000,2.26038
30800000,2.24206
30900000,2.29332
31000000,2.21157
31100000,2.33525
31200000,2.23116
31300000,2.3571
31400000,2.33532
31500000,2.33362
31600000,2.30766
31700000,0.848957
31800000,2.387
31900000,2.24806
32000000,2.40443
32100000,2.30116
32200000,2.35828
