size,time(ms)
100000,0.01474
200000,0.028261
300000,0.041898
400000,0.056064
500000,0.070943
600000,0.083934
700000,0.097116
800000,0.113596
900000,0.124997
1000000,0.141163
1100000,0.153639
1200000,0.169404
1300000,0.179669
1400000,0.193682
1500000,0.2081
1600000,0.224334
1700000,0.237453
1800000,0.250067
1900000,0.266483
2000000,0.277969
2100000,0.290452
2200000,0.304789
2300000,0.320836
2400000,0.33326
2500000,0.347657
2600000,0.359173
2700000,0.37514
2800000,0.388696
2900000,0.403298
3000000,0.414216
3100000,0.428581
3200000,0.443039
3300000,0.454298
3400000,0.469251
3500000,0.483814
3600000,0.497358
3700000,0.514721
3800000,0.528984
3900000,0.540696
4000000,0.556173
4100000,0.572278
4200000,0.585571
4300000,0.597867
4400000,0.626012
4500000,0.623679
4600000,0.634184
4700000,0.655076
4800000,0.665571
4900000,0.679663
5000000,0.689387
5100000,0.705389
5200000,0.720472
5300000,0.735586
5400000,0.746458
5500000,0.759808
5600000,0.77171
5700000,0.788094
5800000,0.79887
5900000,0.813016
6000000,0.829132
6100000,-0.52107
6200000,0.858568
6300000,0.868546
6400000,0.885654
6500000,0.901917
6600000,0.912177
6700000,0.922664
6800000,0.941674
6900000,0.953318
7000000,0.967504
7100000,0.979056
7200000,0.992553
7300000,1.0075
7400000,1.03688
7500000,1.03982
7600000,1.05184
7700000,1.06796
7800000,1.08661
7900000,1.1051
8000000,1.10544
8100000,1.11793
8200000,1.136
8300000,1.1552
8400000,1.16329
8500000,1.17778
8600000,1.18807
8700000,1.20768
8800000,1.21663
8900000,1.22899
9000000,1.24642
9100000,1.2635
9200000,-0.070407
9300000,1.29288
9400000,1.30684
9500000,1.33759
9600000,1.32857
9700000,1.34436
9800000,1.35937
9900000,1.37964
10000000,1.37751
10100000,1.39588
10200000,1.41624
10300000,1.43003
10400000,1.443
10500000,1.4515
10600000,1.47225
10700000,1.48566
10800000,1.51208
10900000,1.51795
11000000,1.52516
11100000,1.54173
11200000,1.55078
11300000,1.56668
11400000,1.57677
11500000,0.211867
11600000,1.61206
11700000,1.61559
11800000,1.63454
11900000,1.65389
12000000,1.6646
12100000,1.66654
12200000,1.71132
12300000,1.70535
12400000,1.70945
12500000,1.7265
12600000,1.73633
12700000,1.77542
12800000,1.75984
12900000,1.76135
13000000,1.78563
13100000,1.81235
13200000,1.81773
13300000,1.84551
13400000,0.544066
13500000,1.87093
13600000,1.89585
13700000,1.89812
13800000,1.93765
13900000,1.96136
14000000,1.95487
14100000,1.9659
14200000,1.99029
14300000,2.09363
14400000,2.12461
14500000,2.08057
14600000,2.16807
14700000,2.07297
14800000,2.10597
14900000,2.09605
15000000,0.696228
15100000,2.11052
15200000,2.1436
15300000,2.13999
15400000,2.16502
15500000,2.17426
15600000,2.18691
15700000,2.19498
15800000,2.2185
15900000,2.2375
16000000,2.24647
16100000,2.26052
16200000,2.26466
16300000,2.29528
16400000,2.2965
16500000,0.911018
16600000,2.32408
16700000,2.33529
16800000,2.36876
16900000,2.42458
17000000,2.41552
17100000,2.43523
17200000,2.44453
17300000,2.4506
17400000,2.45609
17500000,2.49244
17600000,2.47605
17700000,2.48115
17800000,1.05957
17900000,2.51188
18000000,2.5074
18100000,2.5092
18200000,2.53026
18300000,2.64785
18400000,2.65939
18500000,2.59682
18600000,2.61287
18700000,2.63078
18800000,2.65582
18900000,2.63471
19000000,2.65685
19100000,1.30069
19200000,2.68143
19300000,2.70409
19400000,2.71541
19500000,2.73022
19600000,2.75488
19700000,2.76028
19800000,2.77421
19900000,2.78663
20000000,2.81026
20100000,2.82303
20200000,2.83604
20300000,1.48704
20400000,2.87704
20500000,2.86865
20600000,2.9137
20700000,2.89877
20800000,2.93569
20900000,2.94137
21000000,2.93648
21100000,3.00065
21200000,2.97025
21300000,2.98442
21400000,1.65145
21500000,3.02691
21600000,3.0489
21700000,3.03566
21800000,3.0498
21900000,3.09065
22000000,3.07891
22100000,3.08339
22200000,3.09502
22300000,3.13127
22400000,1.79124
22500000,3.14038
22600000,3.17931
22700000,3.21149
22800000,3.22378
22900000,3.20641
23000000,3.23804
23100000,3.24763
23200000,3.25584
23300000,3.25657
23400000,1.90063
23500000,3.29828
23600000,3.28522
23700000,3.31219
23800000,3.3382
23900000,3.34594
24000000,3.35856
24100000,3.43259
24200000,3.38707
24300000,3.39941
24400000,2.05462
24500000,3.44725
24600000,3.4479
24700000,3.45031
24800000,3.50456
24900000,3.48978
25000000,3.50545
25100000,3.52529
25200000,3.50778
25300000,2.14803
25400000,3.59297
25500000,3.55082
25600000,3.61056
25700000,3.59348
25800000,3.60439
25900000,3.64646
26000000,3.65505
26100000,3.63483
26200000,2.30064
26300000,3.6811
26400000,3.71054
26500000,3.71308
26600000,3.7282
26700000,3.74467
26800000,3.75408
26900000,3.76222
27000000,3.75988
27100000,2.48497
27200000,3.80452
27300000,3.82336
27400000,3.84124
27500000,3.84195
27600000,3.87601
27700000,3.88556
27800000,3.88326
27900000,2.55179
28000000,3.91314
28100000,3.92756
28200000,4.26937
28300000,4.17927
28400000,3.97933
28500000,3.99782
28600000,3.98694
28700000,2.5757
28800000,4.02085
28900000,4.04837
29000000,4.06112
29100000,4.08124
29200000,4.10359
29300000,4.11122
29400000,4.12057
29500000,2.71659
29600000,4.1286
29700000,4.19203
29800000,4.18308
29900000,4.18081
30000000,4.19954
30100000,4.21242
30200000,4.20712
30300000,2.87277
30400000,4.28147
30500000,4.26452
30600000,4.29175
30700000,4.34802
30800000,4.36454
30900000,4.30564
31000000,3.01742
31100000,4.39184
31200000,4.38154
31300000,4.3699
31400000,4.40959
31500000,4.42193
31600000,4.4346
31700000,4.45809
31800000,3.11465
31900000,4.49723
32000000,4.53591
32100000,4.49137
32200000,4.52579
32300000,4.518
32400000,4.56357
32500000,3.18716
32600000,4.58646
32700000,4.6051
32800000,4.60535
32900000,4.62981
33000000,4.63898
33100000,4.62148
33200000,3.26157
33300000,4.67093
33400000,4.67771
33500000,4.68077
33600000,4.72375
33700000,4.72408
33800000,4.73002
33900000,3.37545
34000000,4.74579
34100000,4.75671
34200000,4.7968
34300000,4.80405
34400000,4.80778
34500000,3.43219
34600000,4.92155
34700000,4.85207
34800000,4.88216
34900000,4.8654
35000000,4.9018
35100000,4.90898
35200000,3.56721
35300000,4.94687
35400000,5.01632
35500000,5.04008
35600000,5.09103
35700000,5.14933
35800000,3.73382
35900000,5.10437
36000000,5.15323
36100000,5.16295
36200000,5.15575
36300000,5.24798
36400000,5.21743
36500000,3.79439
36600000,5.223
36700000,5.26182
36800000,5.27953
36900000,5.27576
37000000,5.30003
37100000,3.89141
37200000,5.30576
37300000,5.29563
37400000,5.29289
37500000,5.33736
37600000,5.34122
37700000,3.9483
37800000,5.39763
37900000,5.38869
38000000,5.49211
38100000,5.46892
38200000,5.51648
38300000,4.14951
38400000,5.49085
38500000,5.53314
38600000,5.54847
38700000,5.62955
38800000,5.60367
38900000,4.20032
39000000,5.5887
39100000,5.59691
39200000,5.59932
39300000,5.61841
39400000,5.78072
39500000,4.2944
39600000,5.68163
39700000,5.72566
39800000,5.721
39900000,5.81683
40000000,4.222
40100000,5.65169
40200000,5.71622
40300000,5.87139
40400000,5.74301
40500000,5.85951
40600000,4.31151
40700000,5.81387
40800000,5.80105
40900000,5.78839
41000000,5.82325
41100000,4.48855
41200000,5.84491
41300000,5.86367
41400000,5.89279
41500000,5.90142
41600000,5.96806
41700000,4.53373
41800000,6.00649
41900000,5.95701
42000000,5.97914
42100000,6.0255
42200000,4.63051
42300000,6.00178
42400000,6.02358
42500000,6.04157
42600000,6.04478
42700000,6.13069
42800000,4.69045
42900000,6.17033
43000000,6.16713
43100000,6.11445
43200000,6.16074
43300000,4.86714
43400000,6.22031
43500000,6.26883
43600000,6.23026
43700000,6.26548
43800000,4.86031
43900000,6.34132
44000000,6.30497
44100000,6.29113
44200000,6.32775
44300000,4.92363
44400000,6.3132
44500000,6.38242
44600000,6.6222
44700000,6.60364
44800000,4.94388
44900000,6.39271
45000000,6.40684
45100000,6.45469
45200000,6.43974
45300000,6.45927
45400000,5.07737
45500000,6.52553
45600000,6.55541
45700000,6.51799
45800000,5.13053
45900000,6.55698
46000000,6.62324
46100000,6.60905
46200000,6.61822
46300000,5.113
46400000,6.59942
46500000,6.71302
46600000,6.64236
46700000,6.64672
46800000,5.23248
46900000,6.71434
47000000,6.69202
47100000,6.77914
47200000,6.71552
47300000,5.31719
47400000,6.73561
47500000,6.75839
47600000,6.79644
47700000,6.78969
47800000,5.41975
47900000,6.83436
48000000,6.82591
48100000,6.86396
48200000,6.94571
48300000,5.43921
48400000,6.9521
48500000,6.95386
48600000,6.96095
48700000,6.93647
48800000,5.66678
48900000,6.97587
