size,time(ms)
100000,0.013636
200000,0.026051
300000,0.038732
400000,0.05336
500000,0.064935
600000,0.076632
700000,0.091445
800000,0.102617
900000,0.11679
1000000,0.128417
1100000,0.141911
1200000,0.155625
1300000,0.166241
1400000,0.180056
1500000,0.192776
1600000,0.206896
1700000,0.224704
1800000,0.232849
1900000,0.244757
2000000,0.256382
2100000,0.271413
2200000,0.287027
2300000,0.296443
2400000,-0.422588
2500000,0.320156
2600000,0.335369
2700000,0.34809
2800000,0.359189
2900000,0.377152
3000000,0.389782
3100000,0.397551
3200000,0.41479
3300000,0.425601
3400000,0.438449
3500000,0.452911
3600000,0.465221
3700000,0.47741
3800000,0.495538
3900000,0.503552
4000000,0.516029
4100000,0.530561
4200000,0.539513
4300000,0.561178
4400000,0.569258
4500000,0.58198
4600000,0.593311
4700000,0.610146
4800000,0.627613
4900000,0.636705
5000000,0.645563
5100000,0.657248
5200000,0.675726
5300000,0.687478
5400000,0.697993
5500000,0.713103
5600000,0.726741
5700000,0.73637
5800000,0.74476
5900000,0.771683
6000000,0.772842
6100000,0.808398
6200000,0.798004
6300000,0.813435
6400000,0.823937
6500000,0.83774
6600000,0.860375
6700000,0.881752
6800000,0.880641
6900000,0.903769
7000000,0.902335
7100000,0.912555
7200000,0.931733
7300000,0.947336
7400000,0.959484
7500000,0.206126
7600000,0.994284
7700000,0.989116
7800000,1.0121
7900000,1.03327
8000000,1.03654
8100000,1.04681
8200000,1.05458
8300000,1.06315
8400000,1.09202
8500000,1.08912
8600000,1.15297
8700000,1.124
8800000,1.15833
8900000,1.14647
9000000,1.1565
9100000,1.17217
9200000,1.20526
9300000,1.20121
9400000,1.21934
9500000,1.22795
9600000,1.23281
9700000,1.25393
9800000,1.27223
9900000,1.28742
10000000,1.28821
10100000,1.29676
10200000,1.32414
10300000,0.568506
10400000,1.35005
10500000,1.37593
10600000,1.35978
10700000,1.38321
10800000,1.3948
10900000,1.40909
11000000,1.41552
11100000,1.44849
11200000,1.44718
11300000,1.465
11400000,1.48479
11500000,1.49695
11600000,1.52606
11700000,1.51056
11800000,1.53395
11900000,1.54133
12000000,1.54142
12100000,1.58155
12200000,1.5833
12300000,1.5807
12400000,1.61152
12500000,0.87994
12600000,1.64458
12700000,1.63798
12800000,1.66569
12900000,1.65983
13000000,1.67615
13100000,1.68987
13200000,1.7201
13300000,1.75308
13400000,1.73796
13500000,1.74446
13600000,1.7689
13700000,1.76611
13800000,1.78589
13900000,1.80913
14000000,1.80683
14100000,1.81865
14200000,1.83616
14300000,1.09679
14400000,1.85844
14500000,1.86905
14600000,1.88893
14700000,1.90453
14800000,1.90524
14900000,1.9175
15000000,1.94554
15100000,1.94312
15200000,1.97398
15300000,1.99082
15400000,1.98709
15500000,2.00754
15600000,2.00421
15700000,2.02306
15800000,2.04278
15900000,2.04639
16000000,1.32774
16100000,2.07779
16200000,2.09713
16300000,2.10123
16400000,2.10885
16500000,2.12511
16600000,2.14394
16700000,2.15631
16800000,2.17147
16900000,2.19294
17000000,2.18729
17100000,2.21087
17200000,2.22669
17300000,2.21297
17400000,2.25622
17500000,1.50039
17600000,2.28121
17700000,2.27727
17800000,2.30148
17900000,2.30236
18000000,2.31459
18100000,2.33494
18200000,2.32627
18300000,2.36119
18400000,2.37769
18500000,2.38275
18600000,2.39726
18700000,2.42278
18800000,1.66479
18900000,2.44973
19000000,2.45046
19100000,2.46002
19200000,2.47651
19300000,2.49824
19400000,2.50146
19500000,2.52919
19600000,2.52658
19700000,2.55947
19800000,2.63978
19900000,2.57965
20000000,2.5686
20100000,1.83809
20200000,2.60307
20300000,2.62495
20400000,2.63544
20500000,2.65209
20600000,2.6534
20700000,2.68982
20800000,2.6947
20900000,2.74343
21000000,2.73799
21100000,2.71678
21200000,2.73394
21300000,1.98711
21400000,2.75325
21500000,2.77286
21600000,2.78613
21700000,2.79112
21800000,2.83516
21900000,2.84637
22000000,2.844
22100000,2.89837
22200000,2.87006
22300000,2.88337
22400000,2.89106
22500000,2.12703
22600000,2.91304
22700000,2.93447
22800000,2.9392
22900000,2.95315
23000000,2.96972
23100000,2.97971
23200000,2.99796
23300000,3.00485
23400000,3.03432
23500000,2.2724
23600000,3.05016
23700000,3.04103
23800000,3.06461
23900000,3.0769
24000000,3.11076
24100000,3.10837
24200000,3.11441
24300000,3.14178
24400000,3.13885
24500000,3.16207
24600000,2.41629
24700000,3.18545
24800000,3.18886
24900000,3.22455
25000000,3.22724
25100000,3.24668
25200000,3.24672
25300000,3.26666
25400000,3.27301
25500000,3.29085
25600000,2.53849
25700000,3.32321
25800000,3.32052
25900000,3.32651
26000000,3.37697
26100000,3.35175
26200000,3.37859
26300000,3.40067
26400000,3.40726
26500000,2.6642
26600000,3.43289
26700000,3.43871
26800000,3.47584
26900000,3.47839
27000000,3.46439
27100000,3.47218
27200000,3.50065
27300000,3.54473
27400000,3.56757
27500000,2.92919
27600000,3.58779
27700000,3.55585
27800000,3.57415
27900000,3.6376
28000000,3.63197
28100000,3.613
28200000,3.65114
28300000,3.64429
28400000,2.83783
28500000,3.68502
28600000,3.68723
28700000,3.7011
28800000,3.72122
28900000,3.75451
29000000,3.76129
29100000,3.75196
29200000,3.01142
29300000,3.76003
29400000,3.7939
29500000,3.82777
29600000,3.83315
29700000,3.83312
29800000,3.84806
29900000,3.86106
30000000,3.86043
30100000,3.16008
30200000,3.88604
30300000,3.8963
30400000,3.91522
30500000,3.93699
30600000,3.94001
30700000,3.95507
30800000,4.00045
30900000,3.25165
31000000,3.98475
31100000,4.01628
31200000,4.00435
31300000,4.05482
31400000,4.05271
31500000,4.05411
31600000,4.06393
31700000,3.35507
31800000,4.08803
31900000,4.10966
32000000,4.12803
32100000,4.18021
32200000,4.14888
32300000,4.16784
32400000,4.17149
32500000,3.40599
32600000,4.19935
32700000,4.27032
32800000,4.23206
32900000,4.23693
33000000,4.26246
33100000,4.26455
33200000,3.52032
33300000,4.29138
33400000,4.31058
33500000,4.31314
33600000,4.32977
33700000,4.42043
33800000,4.35839
33900000,4.39897
34000000,3.61019
34100000,4.3762
34200000,4.4232
34300000,4.41967
34400000,4.43411
34500000,4.45174
34600000,4.48093
34700000,3.69175
34800000,4.51828
34900000,4.50751
35000000,4.52759
35100000,4.55016
35200000,4.54072
35300000,4.55948
35400000,3.78389
35500000,4.58154
35600000,4.63021
35700000,4.62897
35800000,4.63162
35900000,4.63041
36000000,4.64083
36100000,3.85217
36200000,4.62283
36300000,4.65259
36400000,4.70436
36500000,4.7366
36600000,4.76065
36700000,4.74856
36800000,3.99206
36900000,4.77891
37000000,4.76216
37100000,4.79935
37200000,4.80894
37300000,4.80656
37400000,4.84059
37500000,4.10321
37600000,4.96805
37700000,4.87928
37800000,4.88333
37900000,4.88382
38000000,4.89738
38100000,4.17195
38200000,4.92044
38300000,4.93401
38400000,4.97113
38500000,4.9901
38600000,4.98278
38700000,4.98865
38800000,4.25142
38900000,5.05686
39000000,5.03612
39100000,5.07779
39200000,5.07145
39300000,5.09732
39400000,4.3356
39500000,5.10872
39600000,5.1224
39700000,5.13692
39800000,5.17426
39900000,5.1521
40000000,5.16872
40100000,4.45206
40200000,5.25207
40300000,5.25493
40400000,5.26293
40500000,5.30358
40600000,5.30639
40700000,4.5702
40800000,5.45421
40900000,5.34539
41000000,5.37463
41100000,5.38499
41200000,5.42697
41300000,4.64962
41400000,5.42015
41500000,5.44406
41600000,5.55685
41700000,5.57212
41800000,5.5315
41900000,4.72119
42000000,5.52281
42100000,5.54736
42200000,5.5878
42300000,5.54371
42400000,4.77583
42500000,5.53712
42600000,5.59246
42700000,5.66712
42800000,5.61069
42900000,5.6365
43000000,4.80992
43100000,5.59211
43200000,5.65618
43300000,5.72223
43400000,5.71551
43500000,5.71527
43600000,4.94352
43700000,5.68525
43800000,5.85479
43900000,5.75206
44000000,5.77863
44100000,5.77326
44200000,4.96234
44300000,5.81914
44400000,5.83052
44500000,5.84215
44600000,5.851
44700000,5.06868
44800000,6.06841
44900000,5.88573
45000000,5.92317
45100000,5.90888
45200000,5.92475
45300000,5.15617
45400000,5.95012
45500000,5.97025
45600000,5.98458
45700000,5.97386
45800000,5.28202
45900000,6.03887
46000000,6.03468
46100000,6.05478
46200000,6.04969
46300000,5.27911
46400000,6.10087
46500000,6.08604
46600000,6.11653
46700000,6.15585
46800000,6.18016
46900000,5.39848
47000000,6.15441
47100000,6.1734
47200000,6.18241
47300000,6.20634
47400000,5.43846
47500000,6.2063
47600000,6.26263
47700000,6.22174
47800000,6.26774
47900000,5.50617
48000000,6.28541
48100000,6.30117
48200000,6.31751
48300000,6.33803
48400000,5.53528
48500000,6.35002
48600000,6.3429
48700000,6.4158
48800000,6.40259
48900000,5.61181
49000000,6.49886
49100000,6.46812
49200000,6.5026
49300000,6.48527
49400000,5.66259
49500000,6.48227
49600000,6.52255
49700000,6.51484
49800000,6.60454
49900000,5.69682
50000000,6.51011
50100000,6.61187
50200000,6.61083
50300000,6.58581
50400000,5.75138
50500000,6.60402
50600000,6.62491
50700000,6.64537
50800000,6.64268
50900000,5.91701
51000000,6.67561
51100000,6.6935
51200000,6.72554
51300000,6.70471
51400000,5.97337
51500000,6.74975
51600000,6.75462
51700000,6.88257
51800000,6.76108
51900000,5.99383
52000000,6.82665
52100000,6.8172
52200000,6.81585
52300000,6.88791
52400000,6.05333
52500000,6.87073
52600000,6.90626
52700000,6.92233
52800000,6.12065
52900000,6.91033
53000000,6.92953
53100000,6.94051
53200000,7.00854
53300000,6.165
53400000,6.96652
53500000,7.02008
53600000,7.15296
53700000,7.16492
53800000,6.29501
53900000,7.06234
54000000,7.0613
54100000,7.08826
54200000,6.26532
54300000,7.1375
54400000,7.1242
54500000,7.28679
54600000,7.1557
54700000,6.29237
54800000,7.20163
54900000,7.26302
55000000,7.23319
55100000,6.31255
55200000,7.16944
55300000,7.25043
55400000,7.52912
55500000,7.24162
55600000,6.45081
55700000,7.37468
55800000,7.30037
55900000,7.33649
56000000,6.46427
56100000,7.3847
56200000,7.40786
56300000,7.3617
56400000,6.56722
56500000,7.40843
56600000,7.41647
56700000,7.4129
56800000,7.42883
56900000,6.64726
57000000,7.4446
57100000,7.49512
57200000,7.55541
57300000,6.72621
57400000,7.56015
57500000,7.54268
57600000,7.58537
57700000,6.71958
57800000,7.59799
57900000,7.56604
58000000,7.58561
58100000,7.6244
58200000,6.7966
58300000,7.67132
58400000,7.71306
58500000,7.66922
58600000,6.88347
58700000,7.84064
58800000,7.71058
58900000,7.7265
59000000,6.95236
59100000,7.75248
59200000,7.75814
59300000,7.87406
59400000,7.45263
59500000,7.90655
59600000,7.87201
59700000,7.9031
59800000,7.10098
59900000,7.89173
60000000,10.7861
60100000,8.57298
60200000,7.12541
60300000,7.94419
60400000,12.4382
60500000,17.393
60600000,17.3766
60700000,7.46657
60800000,7.95756
60900000,7.9684
61000000,8.0516
61100000,7.30392
61200000,8.08292
61300000,8.05486
61400000,8.09017
61500000,7.24868
61600000,8.06905
61700000,8.1129
61800000,8.23974
61900000,7.24456
62000000,8.14674
62100000,8.15783
62200000,8.14624
62300000,7.34204
62400000,8.18618
62500000,8.14851
62600000,8.32222
62700000,7.38326
62800000,8.23369
62900000,8.26723
63000000,8.31364
63100000,7.39332
63200000,8.26353
63300000,8.33969
63400000,8.39978
63500000,7.87684
63600000,8.27392
63700000,8.43549
63800000,8.43577
63900000,7.40685
64000000,8.37648
64100000,8.72819
64200000,8.46678
64300000,7.54741
64400000,8.43891
64500000,8.44632
64600000,8.47416
64700000,7.65411
64800000,8.54489
64900000,8.61148
65000000,8.66989
65100000,7.83882
65200000,8.68453
65300000,9.0033
65400000,7.84901
65500000,8.8382
65600000,8.68692
65700000,8.6831
